data/l5.tar, `--long=27 -1`, 22.29%, 2.390s
data/l5.tar, `--long=30 -1`, 22.27%, 2.853s
data/l5.tar, `--long=27 -8`, 17.24%, 2.433s
data/l5.tar, `--long=30 -8`, 17.23%, 2.901s
data/l5.tar, `--long=27 -16`, 14.96%, 12.305s
data/l5.tar, `--long=30 -16`, 14.95%, 11.498s
data/l5.tar, `--long=27 -19`, 14.23%, 46.693s
data/l5.tar, `--long=30 -19`, 14.22%, 47.391s
data/l1m.tar, `--long=27 -1`, 18.31%, 8.227s
data/l1m.tar, `--long=30 -1`, 9.38%, 8.688s
data/l1m.tar, `--long=27 -8`, 14.33%, 8.857s
data/l1m.tar, `--long=30 -8`, 7.36%, 8.952s
data/l1m.tar, `--long=27 -16`, 12.40%, 32.510s
data/l1m.tar, `--long=30 -16`, 6.37%, 26.410s
data/l1m.tar, `--long=27 -19`, 11.74%, 90.532s
data/l1m.tar, `--long=30 -19`, 6.02%, 69.538s
data/l1y.tar, `--long=27 -1`, 18.46%, 8.262s
data/l1y.tar, `--long=30 -1`, 10.54%, 8.985s
data/l1y.tar, `--long=27 -8`, 14.44%, 8.362s
data/l1y.tar, `--long=30 -8`, 8.29%, 9.049s
data/l1y.tar, `--long=27 -16`, 12.49%, 30.885s
data/l1y.tar, `--long=30 -16`, 7.14%, 27.300s
data/l1y.tar, `--long=27 -19`, 11.84%, 91.767s
data/l1y.tar, `--long=30 -19`, 6.76%, 75.436s
data/hhvm-rt.tar, `--long=27 -1`, 27.39%, 29.518s
data/hhvm-rt.tar, `--long=30 -1`, 27.34%, 34.223s
data/hhvm-rt.tar, `--long=27 -8`, 22.76%, 30.733s
data/hhvm-rt.tar, `--long=30 -8`, 22.74%, 35.440s
data/hhvm-rt.tar, `--long=27 -16`, 20.05%, 93.847s
data/hhvm-rt.tar, `--long=30 -16`, 20.04%, 92.958s
data/hhvm-rt.tar, `--long=27 -19`, 17.88%, 194.347s
data/hhvm-rt.tar, `--long=30 -19`, 17.86%, 196.429s
