data/l5.tar, `--long=27 -1`, 22.19%, 2.590s
data/l5.tar, `--long=30 -1`, 22.18%, 3.038s
data/l5.tar, `--long=27 -8`, 17.17%, 2.710s
data/l5.tar, `--long=30 -8`, 17.16%, 3.119s
data/l5.tar, `--long=27 -16`, 14.96%, 12.137s
data/l5.tar, `--long=30 -16`, 14.95%, 11.271s
data/l5.tar, `--long=27 -19`, 14.23%, 45.726s
data/l5.tar, `--long=30 -19`, 14.22%, 44.987s
data/l1m.tar, `--long=27 -1`, 18.17%, 9.072s
data/l1m.tar, `--long=30 -1`, 9.29%, 8.274s
data/l1m.tar, `--long=27 -8`, 14.22%, 9.006s
data/l1m.tar, `--long=30 -8`, 7.29%, 8.308s
data/l1m.tar, `--long=27 -16`, 12.39%, 31.732s
data/l1m.tar, `--long=30 -16`, 6.36%, 26.872s
data/l1m.tar, `--long=27 -19`, 11.74%, 93.085s
data/l1m.tar, `--long=30 -19`, 6.01%, 67.772s
data/l1y.tar, `--long=27 -1`, 18.32%, 8.377s
data/l1y.tar, `--long=30 -1`, 10.41%, 8.504s
data/l1y.tar, `--long=27 -8`, 14.33%, 9.180s
data/l1y.tar, `--long=30 -8`, 8.18%, 8.405s
data/l1y.tar, `--long=27 -16`, 12.49%, 32.671s
data/l1y.tar, `--long=30 -16`, 7.11%, 27.777s
data/l1y.tar, `--long=27 -19`, 11.83%, 91.530s
data/l1y.tar, `--long=30 -19`, 6.73%, 77.702s
data/hhvm-rt.tar, `--long=27 -1`, 27.07%, 30.162s
data/hhvm-rt.tar, `--long=30 -1`, 26.99%, 34.362s
data/hhvm-rt.tar, `--long=27 -8`, 22.54%, 31.520s
data/hhvm-rt.tar, `--long=30 -8`, 22.49%, 36.004s
data/hhvm-rt.tar, `--long=27 -16`, 20.01%, 92.475s
data/hhvm-rt.tar, `--long=30 -16`, 19.99%, 97.452s
data/hhvm-rt.tar, `--long=27 -19`, 17.86%, 195.086s
data/hhvm-rt.tar, `--long=30 -19`, 17.84%, 196.899s
